,text
109,"['morroco', 'japan', 'south', 'korea', 'and', 'australia', 'fifa', 'world', 'cup', 'ke', 'pre', 'quatar', 'finals', 'khel', 'rahe', 'hai', 'cr', 'population', 'wali', 'country', 'bangladesh', 'ke', 'against', 'series', 'ke', 'accited', 'hai']"
110,"['ye', 'fifa', 'me', 'india', 'kyu', 'ni', 'khel', 'rhi', 'hai']"
111,"['kya', 'india', 'next', 'fifa', 'world', 'cup', 'me', 'khel', 'payega']"
112,"['kiya', 'main', 'india', 'fifa', 'world', 'cup', 'khel', 'paye', 'ga']"
113,"['india', 'kabhi', 'fifa', 'me', 'khel', 'payegi', 'kya', 'this', 'company', 'should', 'sponsor', 'indian', 'football', 'team']"
114,"['ek', 'lite', 'world', 'cup', 'hona', 'chaiye', 'taki', 'bharat', 'jaise', 'desh', 'bhi', 'khel', 'ske', 'fifa', 'tk', 'ap', 'log', 'baat', 'phocha', 'do']"
115,"['achanak', 'bc', 'mere', 'tl', 'par', 'sab', 'football', 'fan', 'kaise', 'hogye', 'india', 'fifa', 'khel', 'raha', 'hai', 'kya']"
116,"['in', 'hindi', 'ka', 'khel', 'issh', 'fifa', 'mai', 'kab', 'dekhne', 'ko', 'milengeaankhe', 'tarash', 'gye']"
117,"['haha', 'nai', 'yarr', 'fifa', 'ke', 'pehle', 'se', 'hi', 'khel', 'rha']"
118,"['crore', 'logon', 'ki', 'abadi', 'waley', 'desh', 'main', 'log', 'is', 'kaabil', 'nhi', 'ho', 'fifa', 'world', 'cup', 'khel', 'sake']"
119,"['asked', 'this', 'girl', 'if', 'she', 'likes', 'to', 'watch', 'fifa', 'and', 'she', 'replied', 'hell', 'yes', 'neymar', 'kitna', 'aacha', 'khel', 'raha', 'hai']"
120,"['sir', 'kya', 'indian', 'football', 'player', 'fifa', 'me', 'kisi', 'or', 'team', 'ke', 'liye', 'khel', 'sakte', 'hai', 'kya']"
121,"['sir', 'kya', 'indian', 'football', 'player', 'fifa', 'me', 'kisi', 'or', 'team', 'ke', 'liye', 'khel', 'sakte', 'hai', 'kya']"
122,"['nhi', 'h', 'jo', 'fifa', 'world', 'cup', 'khel', 'kyu', 'kyuki', 'h']"
123,"['were', 'loving', 'the', 'whole', 'football', 'fever', 'vibe', 'here', 'a', 'throwback', 'of', 'ufone', 'g', 'football', 'cup', 'anthem', 'from', 'last', 'year', 'to', 'showcase', 'the', 'amount', 'of', 'love', 'and', 'craze', 'our', 'people', 'have', 'for', 'the', 'game', 'sure', 'is', 'true', 'passion', 'knows', 'no', 'limits', 'dream', 'big', 'aur', 'khel', 'jaa']"
124,"['tere', 'jaise', 'dalal', 'media', 'ki', 'vajah', 'se', 'cr', 'ka', 'population', 'vala', 'country', 'aaj', 'fifa', 'world', 'cup', 'nahi', 'khel', 'rahi', 'ha']"
125,"['crore', 'ki', 'abadi', 'mai', 'log', 'is', 'kabil', 'nhi', 'hai', 'jo', 'fifa', 'world', 'cup', 'khel', 'sake', 'jante', 'ho', 'kyu', 'kyu', 'ki', 'humara', 'rashtra', 'khel', 'hindu', 'muslim', 'hai']"
126,"['crore', 'aabadi', 'waale', 'desh', 'me', 'log', 'iss', 'kaabil', 'nhi', 'hain', 'ki', 'fifa', 'world', 'cup', 'khel', 'sake', 'jaante', 'ho', 'kyu', 'kyuki', 'hamara', 'rashtriya', 'khel', 'hindu', 'mushlim', 'hai']"
127,"['mujy', 'tu', 'lagta', 'hai', 'k', 'pak', 'walo', 'ko', 'troll', 'karny', 'ka', 'haq', 'hi', 'nahi', 'india', 'football', 'ko', 'pechly', 'year', 'sy', 'lagy', 'hai', 'ye', 'log', 'or', 'i', 'think', 'fifa', 'rank', 'hai', 'tu', 'agay', 'ja', 'k', 'khel', 'b', 'sakty', 'hai', 'hamay', 'apna', 'sochna', 'ho', 'ga']"
128,"['ye', 'dekhne', 'walon', 'ko', 'aise', 'guilt', 'dena', 'ki', 'ussey', 'superior', 'sports', 'hai', 'kyuki', 'fifa', 'ka', 'craze', 'aur', 'fame', 'zada', 'hai', 'ye', 'galat', 'hai', 'even', 'bhi', 'warmup', 'matches', 'mein', 'game', 'se', 'pehle', 'football', 'khel', 'ke', 'apne', 'hi', 'game', 'ki', 'importance', 'kam', 'krte', 'hain']"
129,"['the', 'audacity', 'to', 'troll', 'other', 'nation', 'when', 'your', 'country', 'is', 'near', 'nowhere', 'in', 'this', 'game', 'aur', 'ek', 'na', 'ek', 'din', 'india', 'fifa', 'khel', 'hi', 'legi', 'qualification', 'ke', 'through', 'ya', 'phir', 'as', 'a', 'host', 'nation', 'so', 'tumlog', 'pehle', 'apna', 'dekho']"
130,"['sir', 'fifa', 'world', 'cup', 'chal', 'raha', 'hai', 'aur', 'india', 'nahi', 'hai', 'japan', 'and', 'ghana', 'jaisa', 'aur', 'v', 'bohut', 'sare', 'chote', 'desh', 'qualify', 'kar', 'raha', 'haiindia', 'itna', 'bada', 'desh', 'hoke', 'q', 'football', 'me', 'piche', 'hai', 'iska', 'ek', 'video', 'banaiye', 'plsmai', 'nirash', 'hoon', 'india', 'itna', 'bada', 'desh', 'hoke', 'v', 'fifa', 'nhi', 'khel', 'raha']"
131,"['fifa', 'world', 'cup', 'live', 'updates', 'tunisia', 'vs', 'france', 'khel', 'now']"
132,"['kya', 'india', 'future', 'me', 'fifa', 'world', 'cup', 'khel', 'payegi', 'what', 'do', 'you', 'think', 'kab', 'ham', 'cheer', 'karenge', 'india', 'ke', 'liye']"
133,"['han', 'dal', 'do', 'babar', 'pyyy', 'or', 'kuch', 'rh', 'gyaa', 'haiyh', 'b', 'kh', 'do', 'pakistan', 'k', 'maashi', 'halat', 'babar', 'ki', 'wjh', 'se', 'harab', 'hn', 'pakistan', 'mein', 'mehngai', 'b', 'babar', 'ki', 'wjh', 'se', 'hai', 'pakistan', 'fifa', 'wc', 'nai', 'khel', 'wo', 'b', 'babar', 'ki', 'wjh', 'se', 'haii', 'nai', 'mslaa', 'kya', 'hai', 'babar', 'se']"
134,"['india', 'ki', 'performance', 'ki', 'hisab', 'se', 'kya', 'aapko', 'lagta', 'hai', 'aagle', 'saal', 'ke', 'under', 'fifa', 'world', 'cup', 'pe', 'india', 'khel', 'payega', 'under', 'teams', 'ke', 'under', 'india', 'ka', 'aayega']"
135,"['yun', 'to', 'abhi', 'fifa', 'chal', 'raha', 'hai', 'chaparia', 'football', 'khel', 'lo']"
136,"['kya', 'india', 'next', 'fifa', 'wc', 'khel', 'skta', 'haii', 'bcuz', 'teams', 'khelegi', 'aur', 'asia', 'ki', 'total', 'amp', 'half', 'berth', 'rhegi', 'india', 'kaa', 'chance', 'kitna', 'haii', 'aur', 'kya', 'neymar', 'bapis', 'ayenge']"
137,"['keya', 'india', 'khabi', 'fifa', 'khel', 'payega', 'love', 'ur', 'commentary']"
138,"['and', 'then', 'kehte', 'hai', 'nibbio', 'ne', 'cricket', 'barbaad', 'kiya', 'bsd', 'walo', 'tum', 'log', 'sirf', 'win', 'me', 'sath', 'ho', 'tum', 'log', 'usi', 'ne', 'khush', 'the', 'jab', 'pak', 'cricket', 'fifa', 'khel', 'rhi', 'hoti', 'thi', 'cricket', 'me']"
139,"['in', 'hindi', 'eden', 'hazarad', 'kyon', 'nhi', 'khel', 'rhe', 'belgium', 'ke', 'liye']"
140,"['sir', 'agar', 'best', 'parashikshan', 'mile', 'to', 'mehsi', 'east', 'champaran', 'ka', 'football', 'team', 'fifa', 'khel', 'sakti', 'hai', 'bahut', 'achha', 'football', 'khelne', 'wala', 'bachcha', 'sab', 'hai', 'please', 'pahle', 'mehsi', 'tirhut', 'high', 'school', 'ke', 'ground', 'mein', 'light', 'lagane', 'ka', 'kirpa', 'karenge', 'phir', 'dekhiye', 'sir', 'puri', 'duniya', 'mein', 'bihar', 'ka', 'naam', 'hoga']"
141,"['tv', 'chalta', 'hai', 'khiladi', 'se', 'ab', 'jab', 'khiladi', 'nahi', 'rehega', 'to', 'khelega', 'kaun', 'doha', 'mei', 'kaun', 'khelega', 'doha', 'mei', 'kaise', 'jayege', 'khelne', 'bahut', 'afsos', 'hota', 'hai', 'india', 'doha', 'mei', 'fifa', 'cup', 'nahi', 'khel', 'reha', 'hai', 'duniya', 'ka', 'sabse', 'popular', 'khel', 'pakistan', 'to', 'doha', 'mei', 'percent', 'aur', 'jersey', 'supply', 'ker', 'bhag', 'le', 'reha']"
142,"['jali', 'na', 'teri', 'kiyonki', 'ek', 'bhi', 'sanghi', 'nahi', 'khel', 'raha', 'fifa', 'world', 'cup', 'me']"
143,"['kya', 'india', 'fifa', 'world', 'cup', 'khel', 'sakta', 'he']"
144,"['desh', 'bharat', 'kyo', 'nhi', 'fifa', 'khel', 'pata', 'kya', 'reason', 'hai', 'boliye', 'crcicket', 'me', 'hmara', 'desh', 'itna', 'aage', 'hai', 'to', 'football', 'me', 'itna', 'picche', 'kyo']"
145,"['raman', 'sir', 'kya', 'kabhi', 'india', 'fifa', 'wordcup', 'khel', 'payega']"
146,"['india', 'kab', 'tak', 'fifa', 'world', 'cup', 'khel', 'payenge', 'q', 'k', 'hum', 'log', 'kab', 'tak', 'world', 'cup', 'bina', 'india', 'ke', 'dekhty', 'rahyngy']"
147,"['kya', 'kabhi', 'indian', 'team', 'bhi', 'fifa', 'world', 'cup', 'khel', 'payegi']"
148,"['sir', 'sunil', 'chetri', 'apne', 'carrier', 'm', 'kabhi', 'khel', 'payenge']"
149,"['crore', 'ki', 'aabadi', 'me', 'koi', 'bande', 'bhi', 'itne', 'kaabil', 'ni', 'jo', 'fifa', 'world', 'cup', 'khelne', 'jaa', 'ske', 'aisa', 'to', 'hoga', 'hi', 'kyunki', 'hmara', 'rashtra', 'khel', 'to', 'hindumuslim', 'h']"
150,"['crore', 'wale', 'desh', 'me', 'log', 'aise', 'nhi', 'h', 'jo', 'fifa', 'world', 'cup', 'khel', 'ske', 'qki', 'hamara', 'national', 'game', 'to', 'politics', 'hai', 'na']"
151,"['crore', 'ki', 'aabadi', 'me', 'koi', 'bande', 'bhi', 'itne', 'kaabil', 'ni', 'jo', 'fifa', 'world', 'cup', 'khelne', 'jaa', 'ske', 'aisa', 'to', 'hoga', 'hi', 'kyunki', 'hmara', 'rasgtra', 'khel', 'to', 'hindumuslim']"
152,"['crore', 'ki', 'aabadi', 'me', 'koi', 'bande', 'bhi', 'itne', 'kabil', 'ni', 'h', 'jo', 'fifa', 'world', 'cup', 'me', 'khelne', 'jaa', 'ske', 'or', 'aisa', 'to', 'hoga', 'hi', 'kyunki', 'hmara', 'rashtra', 'khel', 'to', 'hindumuslim', 'h']"
153,"['brazil', 'at', 'fifa', 'world', 'cup', 'group', 'schedule', 'amp', 'results', 'khel', 'now']"
154,"['bharat', 'kab', 'khel', 'payega', 'fifa', 'world', 'cup']"
155,"['from', 'his', 'seasonal', 'goals', 'to', 'india', 'asian', 'cup', 'campaign', 'to', 'the', 'fifa', 'world', 'cup', 'amrinder', 'singh', 'speaks', 'his', 'heart', 'out', 'in', 'an', 'interview', 'to', 'khel', 'now', 'read', 'full', 'interview']"
156,"['portugal', 'legend', 'shares', 'his', 'memories', 'of', 'fifa', 'world', 'cup', 'sharing', 'the', 'dressing', 'room', 'with', 'cristiano', 'ronaldo', 'portugal', 'chances', 'in', 'qatar', 'and', 'more', 'he', 'speaks', 'in', 'an', 'exclusive', 'chat', 'with', 'khel', 'now']"
157,"['crore', 'ki', 'population', 'me', 'log', 'iss', 'kabil', 'nahi', 'hai', 'ki', 'fifa', 'world', 'cup', 'khel', 'sake', 'jante', 'ho', 'kyubczour', 'national', 'game', 'is', 'hindumuslim']"
158,"['t', 'is', 'on', 'sports', 'khel', 'and', 'fifa', 'is', 'on', 'sports']"
159,"['crore', 'ki', 'population', 'me', 'players', 'iss', 'kabil', 'nhi', 'hai', 'jo', 'fifa', 'world', 'cup', 'khel', 'sakejante', 'ho', 'kyu', 'kyu', 'ki', 'hamara', 'national', 'game', 'hai', 'hindu', 'and', 'muslim', 'hai']"
160,"['noth', 'india', 'thoda', 'bahut', 'football', 'me', 'importance', 'deta', 'to', 'sure', 'fifa', 'khel', 'rahe', 'hote']"
161,"['agar', 'india', 'woh', 'barefoot', 'scandal', 'wala', 'football', 'world', 'cup', 'khel', 'leta', 'toh', 'abhi', 'world', 'cup', 'hote', 'india', 'ke', 'paas', 'dhoni', 'would', 'have', 'been', 'goalkeeper', 'not', 'wicketkeeper', 'and', 'presently', 'would', 'have', 'been', 'mentor', 'to', 'current', 'football', 'team']"
162,"['bhai', 'itna', 'hota', 'to', 'abhi', 'india', 'ki', 'team', 'khel', 'rahi', 'hoti', 'fifa', 'ya', 'baat', 'mante', 'kyu', 'nhi']"
163,"['india', 'kb', 'khel', 'payegi', 'fifa', 'world', 'cup', 'me']"
164,"['sir', 'please', 'reply', 'kya', 'india', 'next', 'fifa', 'wc', 'khel', 'sakta', 'hai', 'considering', 'of', 'teams', 'in', 'next', 'wc']"
165,"['kya', 'india', 'next', 'fifa', 'wc', 'khel', 'sakta', 'hai', 'considering', 'of', 'teams', 'in', 'next', 'wc']"
166,"['lakh', 'population', 'wali', 'country', 'fifa', 'world', 'cup', 'khel', 'rahi', 'h', 'aur', 'cr', 'country', 'wala', 'gobar', 'ke', 'fayeda', 'bata', 'raha', 'h']"
167,"['ye', 'sab', 'to', 'thik', 'hai', 'lekin', 'hamare', 'india', 'ka', 'football', 'itna', 'piche', 'kyon', 'hai', 'is', 'bar', 'india', 'fifa', 'kyon', 'nahin', 'khel', 'pai', 'aur', 'football', 'per', 'kharch', 'kyon', 'nahin', 'hota', 'jitna', 'cricket', 'bhi', 'hota', 'hai']"
168,"['fifa', 'wala', 'game', 'khel', 'gaye']"
169,"['following', 'the', 'end', 'of', 'the', 'second', 'round', 'of', 'fixtures', 'in', 'the', 'fifa', 'world', 'cup', 'here', 'is', 'khel', 'now', 'team', 'of', 'the', 'round', 'match', 'day']"
170,"['india', 'mai', 'qatar', 'fifa', 'ki', 'khel', 'dikhane', 'ka', 'rights', 'sirf', 'viacom', 'ki', 'pass', 'hai', 'or', 'o', 'asol', 'mai', 'kiska', 'hai', 'reliance', 'jio', 'ka', 'hai', 'uska', 'piche', 'ambani', 'hai', 'or', 'afsus', 'ki', 'bath', 'ye', 'hai', 'jio', 'cinema', 'bht', 'slow', 'or', 'piche', 'choltahai', 'or', 'sports', 'mai', 'hindi', 'language', 'add', 'nahi', 'atmanirbor', 'bharat']"
171,"['watch', 'live', 'stream', 'world', 'cup', 'portugal', 'vs', 'uruguay', 'live', 'link', 'fifa', 'world', 'cup', 'live', 'updates', 'portugal', 'vs', 'uruguay', 'khel', 'now']"
172,"['watch', 'live', 'stream', 'world', 'cup', 'portugal', 'vs', 'uruguay', 'live', 'link', 'fifa', 'world', 'cup', 'live', 'updates', 'portugal', 'vs', 'uruguay', 'khel', 'now']"
173,"['yes', 'im', 'criticizing', 'temporary', 'football', 'fans', 'jab', 'se', 'fifa', 'start', 'hoa', 'ha', 'barsaati', 'football', 'fans', 'har', 'jagha', 'tweet', 'krtay', 'nazar', 'atay', 'han', 'jesay', 'poora', 'saal', 'football', 'kheltay', 'hon', 'or', 'saalo', 'se', 'khel', 'rahay', 'jo']"
175,"['whatsapp', 'update', 'karle', 'bhai', 'gobar', 'khaake', 'dimag', 'me', 'bhi', 'gobar', 'bhara', 'hai', 'jin', 'jin', 'desho', 'ke', 'naam', 'le', 'raha', 'hai', 'sab', 'abhi', 'muslim', 'country', 'me', 'fifa', 'khel', 'rahe', 'hain', 'samjh', 'me', 'aaya', 'kya', 'lala']"
176,"['pakistan', 'v', 'fifa', 'khel', 'chuka', 'haibas', 'india', 'nhi', 'khel', 'paya']"
177,"['the', 'black', 'stars', 'are', 'set', 'to', 'play', 'their', 'second', 'group', 'game', 'against', 'south', 'korea', 'in', 'the', 'ongoing', 'fifa', 'world', 'cup', 'in', 'qatar', 'what', 'is', 'your', 'prediction', 'on', 'today', 'game', 'what', 'changes', 'do', 'you', 'want', 'to', 'see', 'in', 'today', 'game', 'photo', 'credit', 'khel', 'now']"
178,"['i', 'know', 'about', 'all', 'the', 'fifa', 'wcs', 'i', 'know', 'about', 'the', 'teams', 'jab', 'koi', 'final', 'jeet', 'jaaye', 'to', 'bata', 'dena', 'ek', 'aisa', 'team', 'game', 'jisme', 'hamara', 'desh', 'khel', 'hi', 'nahin', 'raha', 'usme', 'excitement', 'kahan', 'se', 'laate', 'ho', 're']"
179,"['india', 'ke', 'state', 'ke', 'barabar', 'ki', 'country', 'fifa', 'world', 'cup', 'ki', 'mejbani', 'and', 'khel', 'rahi', 'hai', 'aur', 'hamlog', 'abdul', 'ke', 'pichhe', 'pade', 'hai', 'aisi', 'soch', 'ke', 'tum', 'haqdar', 'ho']"
180,"['abdul', 'jis', 'country', 'se', 'hai', 'wo', 'country', 'badkismati', 'se', 'fifa', 'me', 'khel', 'bhi', 'nhi', 'rahi', 'hai', 'kyo', 'ki', 'abdul', 'ki', 'country', 'me', 'population', 'gobar', 'aur', 'ghaas', 'khane', 'wali', 'hai', 'jiski', 'wajah', 'se', 'unki', 'pairo', 'me', 'poliyo', 'ho', 'gya', 'hai']"
181,"['fifa', 'khel', 'rha', 'hoon']"
182,"['agr', 'sia', 'ham', 'progress', 'krtay', 'tu', 'shyd', 'aj', 'ham', 'fifa', 'khel', 'rahe', 'hotay']"
183,"['sir', 'ji', 'kuch', 'kijiye', 'na', 'ki', 'hum', 'bhi', 'khel', 'paye', 'fifa', 'world', 'cup', 'mai']"
184,"['italy', 'bhi', 'nahi', 'hai', 'lekin', 'dono', 'team', 'bharat', 'se', 'majboot', 'hai', 'china', 'fifa', 'me', 'pehle', 'bhi', 'khel', 'chuka', 'hai']"
185,"['it', 'belgium', 'vs', 'morocco', 'haji', 'sahab', 'ki', 'team', 'khel', 'rhi', 'hai', 'aaj', 'fifa', 'wc', 'ma']"
186,"['copiedpatwaris', 'news', 'feeds', 'have', 'been', 'going', 'jhalley', 'tey', 'balalley', 'over', 'the', 'fifa', 'wc', 'while', 'they', 'pretend', 'as', 'if', 'the', 'mammoth', 'power', 'show', 'of', 'pti', 'never', 'even', 'happened', 'lionel', 'messi', 'ke', 'itney', 'fans', 'woh', 'bhi', 'halqaepatwar', 'se', 'munsalik', 'jinn', 'ka', 'qaumi', 'khel', 'biryani', 'ke', 'packet', 'jama', 'karna', 'hai']"
187,"['australia', 'and', 'england', 'udar', 'qatar', 'main', 'fifa', 'khel', 'raha', 'he', 'isliye', 'cricket', 'ko', 'tata', 'bye', 'bye', 'kahdiya']"
188,"['fifa', 'world', 'cup', 'chal', 'rha', 'hai', 'football', 'hi', 'khel', 'lo']"
189,"['tum', 'jaise', 'log', 'ke', 'vajah', 'se', 'india', 'aaj', 'fifa', 'world', 'cup', 'nahi', 'khel', 'rahi', 'sharam', 'karo', 'andhbhkton']"
190,"['live', 'stream', 'arg', 'vs', 'mex', 'watch', 'from', 'here', 'live', 'live', 'five', 'times', 'asian', 'teams', 'pulled', 'off', 'upsets', 'at', 'fifa', 'world', 'cup', 'khel', 'now']"
191,"['and', 'i', 'was', 'like', 'fifa', 'world', 'cup', 'barcelona', 'mai', 'horha', 'hai', 'magar', 'ye', 'ghar', 'pe', 'mere', 'saath', 'he', 'world', 'cup', 'kyu', 'khel', 'rha', 'hai']"
192,"['fifa', 'world', 'cup', 'fantasy', 'transfers', 'pointscoring', 'and', 'more', 'khel', 'now', 'read', 'more']"
193,"['aur', 'ek', 'baat', 'ki', 'jitna', 'cricket', 'per', 'dhyan', 'diya', 'jata', 'hai', 'utna', 'football', 'per', 'kyon', 'nahin', 'aur', 'cricket', 'ka', 'budget', 'itna', 'hai', 'lekin', 'football', 'ka', 'budget', 'uske', 'aadha', 'bhi', 'nahin', 'nahin', 'to', 'kya', 'yahi', 'hai', 'sab', 'khel', 'ko', 'saman', 'badhava', 'dena', 'aur', 'to', 'aur', 'hamare', 'india', 'per', 'ban', 'bhi', 'lag', 'chuka', 'hai', 'fifa', 'ki', 'taraf', 'se']"
194,"['anurag', 'thakur', 'mcd', 'ka', 'chunav', 'lad', 'raha', 'hai', 'kya', 'khel', 'mantri', 'ko', 'sharm', 'nahi', 'ata', 'ki', 'inke', 'desh', 'ka', 'koi', 'player', 'fifa', 'me', 'nahi', 'hai']"
195,"['ye', 'log', 'cheekh', 'cheekh', 'k', 'fifa', 'khel', 'rahay', 'hain', 'i', 'j', 'wanna', 'sleep', 'man', 'ffs']"
196,"['aur', 'kyahum', 'apna', 'ek', 'month', 'ka', 'salary', 'de', 'dejo', 'india', 'fifa', 'wc', 'khel', 'le']"
197,"['fifa', 'mein', 'to', 'but', 'khel', 'hi', 'nhi', 'rha']"
198,"['jo', 'log', 'bolte', 'hai', 'fifa', 'world', 'cup', 'bhi', 'koi', 'dekhta', 'hai', 'jisme', 'india', 'nhi', 'khel', 'rhi', 'are', 'gadho', 'kabhi', 'football', 'ko', 'support', 'hi', 'nhi', 'karoge', 'aur', 'uska', 'craze', 'hi', 'nhi', 'hoga', 'toh', 'india', 'future', 'me', 'bhi', 'nhi', 'khel', 'paegi', 'woha']"
199,"['who', 'knows', 'captain', 'wala', 'three', 'wcup', 'olympic', 'medala', 'hockey', 'bronze', 'etc', 'ka', 'cod', 'pay', 'katdiyta', 'toh', 'aab', 'tak', 'india', 'fifa', 'wcup', 'bhi', 'khel', 'raha', 'hota']"
200,"['katar', 'mein', 'to', 'log', 'dawat', 'de', 'rahe', 'hain', 'ki', 'aap', 'musalman', 'ban', 'jao', 'kyunki', 'yah', 'fifa', 'ka', 'khel', 'is', 'bar', 'islam', 'ko', 'badhava', 'dene', 'ke', 'liye', 'hi', 'rakha', 'hai']"
201,"['china', 'fifa', 'khel', 'raha', 'ki', 'nahi']"
202,"['yehi', 'geeta', 'aur', 'quran', 'ke', 'karan', 'toh', 'bharat', 'aaj', 'tak', 'fifa', 'nhi', 'khel', 'paya', 'waise', 'qatar', 'khel', 'rha', 'hai']"
203,"['fifa', 'khel', 'raha', 'tha']"
204,"['which', 'team', 'is', 'chinglensana', 'singh', 'backing', 'for', 'the', 'fifa', 'world', 'cup', 'khel', 'now']"
205,"['pakistan', 'world', 'cup', 'khel', 'kr', 'b', 'a', 'gya', 'fifa', 'wprld', 'cup', 'sal', 'k', 'bad', 'jo', 'qtar', 'men', 'hona', 'tha', 'wo', 'b', 'start', 'ho', 'gya', 'prime', 'minister', 'n', 'darjan', 'bhar', 'mulkon', 'k', 'dory', 'b', 'kr', 'lye', 'lakin', 'wo', 'sala', 'jhoota', 'darpok', 'geedar', 'ghardar', 'abi', 'tak', 'islambad', 'ni', 'pohancha', 'jo', 'wrong', 'march', 'k', 'lye', 'nikla', 'tha']"
206,"['par', 'woh', 'toh', 'fifa', 'khel', 'nhi', 'raha']"
207,"['tu', 'pahale', 'soch', 'ki', 'tere', 'ghar', 'me', 'koi', 'hai', 'jo', 'fifa', 'khel', 'sake', 'fhir', 'desh', 'ke', 'bare', 'me', 'bol']"
208,"['tu', 'aage', 'aa', 'ke', 'khel', 'le', 'fifa']"
209,"['tunisia', 'ghana', 'fifa', 'khel', 'reha', 'hai', 'serbia', 'bhi', 'ham', 'kyon', 'nahi', 'wazireazam', 'se', 'puchhna', 'padega', 'modi', 'hai', 'to', 'mumkin', 'jab', 'mulk', 'mei', 'tunisia', 'ghana', 'moracco', 'ka', 'nam', 'dekhe', 'to', 'hame', 'bahut', 'jyada', 'afsos', 'hua', 'itna', 'ki', 'tesua', 'bahte', 'behte', 'tehuna', 'tak', 'anshu', 'aa', 'gaye', 'serbia', 'ka', 'nam', 'sune', 'aur', 'rona', 'aa', 'gaya', 'pat']"
210,"['appi', 'aapko', 'koi', 'kaam', 'nhi', 'hai', 'kya', 'biggboss', 'khelo', 'n', 'fifa', 'me', 'kyu', 'ja', 'rhi', 'wo', 'aapke', 'bas', 'ki', 'baat', 'nhi', 'hai', 'dur', 'raho', 'fifa', 'se', 'nhi', 'to', 'khel', 'ho', 'jayega', 'salam']"
211,"['acha', 'khelta', 'toh', 'aaj', 'hm', 'fifa', 'khel', 'rhe', 'hote']"
212,"['fifa', 'main', 'mast', 'grow', 'karta', 'hai', 'wo', 'rm', 'ka', 'career', 'mode', 'khel', 'raa', 'thaa', 'main']"
213,"['fifa', 'world', 'cup', 'cr', 'wala', 'hamara', 'desh', 'hai', 'keya', 'khiladi', 'nahi', 'hai', 'hamarey', 'pass', 'jo', 'fifa', 'world', 'cup', 'khel', 'sake', 'sochne', 'wali', 'baat', 'hai']"
214,"['in', 'this', 'fifa', 'world', 'cup', 'asian', 'teams', 'gt', 'european', 'teams', 'kya', 'mast', 'khel', 'rhi', 'pahle', 'saudi', 'arabia', 'amp', 'fir', 'japan', 'interesting', 'ho', 'rhe', 'group', 'stage']"
215,"['asia', 'mein', 'toh', 'humesa', 'khelti', 'hain', 'usme', 'badi', 'baat', 'kya', 'jaha', 'khele', 'gi', 'woha', 'support', 'karenge', 'naa', 'abb', 'fifa', 'nahi', 'khel', 'rahi', 'toh', 'kese', 'support', 'karenge', 'dont', 'talk', 'something', 'irrelevant']"
216,"['sunil', 'chhetri', 'fifa', 'world', 'cup', 'mein', 'khel', 'raha', 'hai', 'kya', 'nahi', 'na', 'to', 'phir', 'apart', 'from', 'this', 'byjus', 'made', 'messi', 'as', 'a', 'global', 'ambassador', 'does', 'sunil', 'chhetri', 'deserve', 'to', 'be', 'the', 'global', 'ambassador', 'nhi', 'na', 'to', 'phir']"
217,"['jab', 'india', 'wcolympics', 'khelti', 'toh', 'tab', 'toh', 'flag', 'nhi', 'lagata', 'lekin', 'jab', 'videshi', 'team', 'fifa', 'world', 'cup', 'khel', 'rahi', 'toh', 'unka', 'flag', 'laga', 'rakha', 'shame', 'on', 'you']"
218,"['jab', 'india', 'wcolympics', 'khelti', 'toh', 'tab', 'toh', 'flag', 'nhi', 'lagata', 'lekin', 'jab', 'videshi', 'team', 'fifa', 'world', 'cup', 'khel', 'rahi', 'toh', 'kya', 'toh', 'unka', 'flag', 'laga', 'rakha', 'shame', 'on', 'you']"
219,"['tv', 'chanel', 'wale', 'fifa', 'world', 'cup', 'ki', 'baaten', 'bataakar', 'hamara', 'samay', 'barbaad', 'na', 'karen', 'jinko', 'is', 'khel', 'men', 'interest', 'h', 've', 'tv', 'par', 'dekh', 'rahe', 'hain', 'pahle', 'crore', 'ki', 'population', 'men', 'se', 'players', 'chun', 'kar', 'khelne', 'bhejo', 'phir', 'laffazi', 'karo']"
220,"['if', 'someone', 'has', 'someone', 'known', 'of', 'their', 'in', 'the', 'houseto', 'vaise', 'he', 'supportive', 'feel', 'hota', 'haithe', 'game', 'is', 'all', 'about', 'persistenceaise', 'support', 'se', 'to', 'koi', 'bhi', 'khel', 'le', 'should', 'not', 'be', 'given', 'this', 'much', 'extra', 'care', 'on', 'the', 'other', 'hand', 'is', 'slaying', 'like', 'queen']"
221,"['fifa', 'khel', 'rehy', 'hain', 'khan', 'sahb']"
222,"['ki', 'mool', 'awadi', 'total', 'kiawadi', 'wala', 'desh', 'qatar', 'fifa', 'world', 'cup', 'kara', 'raha', 'h', 'bo', 'bhi', 'hamare', 'desh', 'ki', 'kul', 'gdp', 'se', 'adhik', 'lagat', 'se', 'aur', 'hum', 'cr', 'log', 'anjana', 'aur', 'sudheer', 'ke', 'saath', 'baithkar', 'hindu', 'muslim', 'mandir', 'masjid', 'parsi', 'aaftab', 'ko', 'muslim', 'banae', 'ka', 'khel', 'khel', 'rahe', 'hain']"
223,"['esi', 'ke', 'wajah', 'se', 'hamare', 'india', 'wale', 'fifa', 'world', 'cup', 'nahi', 'khel', 'saka']"
