,text
22,"['are', 'srk', 'khel', 'gya', 'literally', 'world', 'cup', 'ke', 'final', 'me', 'aane', 'wla', 'hai', 'apni', 'pathaan', 'ka', 'promotion', 'karne', 'abhi', 'match', 'dekh', 'rha', 'tha', 'mai', 'tabhi', 'promo', 'dekha', 'maine', 'aur', 'fifa', 'ki', 'viewership', 'bahut', 'acchi', 'chl', 'rahi', 'hai', 'india', 'and', 'outside', 'india']"
23,"['woh', 'kya', 'news', 'thi', 'ke', 'messi', 'ko', 'khel', 'nai', 'nahin', 'dega', 'fifa', 'but', 'thank', 'god', 'he', 'is', 'playing']"
24,"['muje', 'bss', 'fifa', 'ka', 'khel', 'malum', 'abhi', 'raat', 'ko', 'match', 'so']"
25,"['yaar', 'wo', 'sab', 'tu', 'thek', 'hai', 'lekn', 'yeh', 'realmadrid', 'or', 'barcelona', 'fifa', 'q', 'nahi', 'khel', 'rahy']"
26,"['fifa', 'ye', 'bhi', 'khel', 'raha', 'kya', 'morroco', 'ki', 'taraf', 'se']"
27,"['han', 'bhai', 'isi', 'congress', 'ki', 'meherbani', 'hai', 'jo', 'hamare', 'pados', 'mein', 'aaj', 'fifa', 'world', 'cup', 'ho', 'raha', 'hai', 'aur', 'hamare', 'desh', 'ki', 'koi', 'team', 'nahin', 'khel', 'rahi', 'yah', 'rahul', 'gandhi', 'aur', 'unke', 'papa', 'unki', 'dadi', 'aur', 'unke', 'nana', 'ki', 'sarkar', 'ki', 'badaulat', 'aisa', 'hua', 'hai', 'ki', 'aaj', 'ham', 'ek', 'chhoti', 'si', 'team', 'mein', 'nahin', 'banaa', 'sake']"
28,"['reports', 'african', 'players', 'paid', 'money', 'to', 'play', 'at', 'fifa', 'world', 'cup', 'khel', 'now', 'french', 'journalist', 'romain', 'molina', 'in', 'a', 'youtube', 'video', 'accused', 'the', 'federation', 'of', 'corruption', 'french', 'football', 'journalist', 'romain', 'molina', 'has', 'accused', 'the']"
29,"['reports', 'african', 'players', 'paid', 'money', 'to', 'play', 'at', 'fifa', 'world', 'cup', 'khel', 'now', 'french', 'journalist', 'romain', 'molina', 'in', 'a', 'youtube', 'video', 'accused', 'the', 'federation', 'of', 'corruption', 'french', 'football', 'journalist', 'romain', 'molina', 'has', 'accused', 'the']"
30,"['bhai', 'pappu', 'ko', 'fifa', 'me', 'bhej', 'do', 'ye', 'bharat', 'jod', 'rha', 'ki', 'football', 'khel', 'rha', 'aakhir', 'abhi', 'bhi', 'abodh', 'balak', 'hai']"
31,"['puncture', 'putr', 'world', 'cup', 'ka', 'semi', 'final', 'khel', 'rhe', 'hai', 'aur', 'muh', 'se', 'hawai', 'zahaz', 'udane', 'wale', 'andhbhakt', 'ko', 'fifa', 'se', 'hi', 'ban', 'kr', 'diya', 'gya', 'hai', 'wah', 're', 'zahilo']"
